WK ID CODE	NUMBER	NAME
WK051801	1	Oostduinen
WK051802	2	Belgisch Park
WK051803	3	Westbroekpark en Duttendel
WK051804	4	Benoordenhout
WK051805	5	Archipelbuurt
WK051806	6	Van Stolkpark en Scheveningse Bosjes
WK051807	7	Scheveningen
WK051808	8	Duindorp
WK051809	9	Geuzen- en Statenkwartier
WK051810	10	Zorgvliet
WK051811	11	Duinoord
WK051812	12	Bomen- en Bloemenbuurt
WK051813	13	Vogelwijk
WK051814	14	Bohemen en Meer en Bos
WK051815	15	Kijkduin en Ockenburgh
WK051816	16	Kraayenstein en de Uithof
WK051817	17	Loosduinen
WK051818	18	Waldeck
WK051819	19	Vruchtenbuurt
WK051820	20	Valkenboskwartier
WK051821	21	Regentessekwartier
WK051822	22	Zeeheldenkwartier
WK051823	23	Willemspark
WK051824	24	Haagse Bos
WK051825	25	Mariahoeve en Marlot
WK051826	26	Bezuidenhout
WK051827	27	Stationsbuurt
WK051828	28	Centrum
WK051829	29	Schildersbuurt
WK051830	30	Transvaalkwartier
WK051831	31	Rustenburg en Oostbroek
WK051832	32	Leyenburg
WK051833	33	Bouwlust en Vrederust
WK051834	34	Morgenstond
WK051835	35	Zuiderpark
WK051836	36	Moerwijk
WK051837	37	Groente- en Fruitmarkt
WK051838	38	Laakkwartier en Spoorwijk
WK051839	39	Binckhorst
WK051840	40	Wateringse Veld
WK051841	41	Hoornwijk
WK051842	42	Ypenburg
WK051843	43	Forepark
WK051844	44	Leidschenveen
