variable name	type	Formato	variable label	significado	
obu_naam	str30	%30s	obu_naam	vecindario de origen	
dbu_naam	str30	%30s	dbu_naam	vecindario de destino	
year	int	%10.0g	year	año	
perscrimeSMA	int	%10.0g	perscrimeBIG	crimen personal en un diámetro de la distancia entre los vecindarios	
propcrimeSMA	long	%10.0g	propcrimeBIG	crimen a propiedad en un diámetro de la distancia entre los vecindarios	
migraSMA	int	%10.0g	migraBIG	reubicaciones en un diámetro de la distancia entre los vecindarios	
attracSMA	double	%10.0g	attracBIG	atracciones en un diámetro de la distancia entre los vecindarios	
ohouse_BUFF0	long	%10.0g	"# of houses, big circle"	origen numero de casas en un radio de la distancia entre los vecindarios	
oinwonersBUFF0	long	%10.0g	"population, big circle"	origen población  en un radio de la distancia entre los vecindarios	
dhuish_haBUFF0	double	%10.0g	"# of houses per ha, big circle"	destino numero de casas por hectarea  en un radio de la distancia entre los vecindarios	
dinw_haBUFF0	double	%10.0g	"population per ha, big circle"	destino población por hectarea  en un radio de la distancia entre los vecindarios	
dhouse_BUFF0	long	%10.0g	"# of houses, big circle"	destino numero de casas  en un radio de la distancia entre los vecindarios	
oattractiesBUFF	double	%10.0g	"ammenities per km, big circle"	origen atracciones  en un radio de la distancia entre los vecindarios	
dattractiesBUFF	double	%10.0g	"ammenities per km, big circle"	destino atracciones  en un radio de la distancia entre los vecindarios	
opersonalcrim~F	long	%10.0g	"violent crime, big circle"	origen crimen personal en un radio de la distancia entre los vecindarios	
opropertycrim~F	long	%10.0g	"property crime, big circle"	origen crimen a propiedad en un radio de la distancia entre los vecindarios	
dpersonalcrim~F	int	%10.0g	"violent crime, big circle"	destino crimen personal en un radio de la distancia entre los vecindarios	
dpropertycrim~F	long	%10.0g	"property crime, big circle"	destino crimen a propiedad en un radio de la distancia entre los vecindarios	
ohuish_haBUFF0	double	%10.0g	"# of haouses per ha, big circle"	origen numero de casas por hectarea  en un radio de la distancia entre los vecindarios	
oinw_haBUFF0	double	%10.0g	"population per ha, big circle"	origen población por hectarea  en un radio de la distancia entre los vecindarios	
migraBUFF0	int	%10.0g	"migrants, big circle"	reubicación del vecindario de origen en un radio de la distancia entre los vecindarios	
oaantal_laag~s0	double	%10.0g	origin number of low-income housing	origen número de casas con bajo ingreso	
oaantal_mid_~s0	double	%10.0g	origin number of mid-income housing		
oaantal_hoog~s0	double	%10.0g	origin number of high-income housing		
oaantal_laag~r0	double	%10.0g	%origin number of low-income housing		
oaantal_mid_~r0	double	%10.0g	%origin number of mid-income housing		
oaantal_hoog~r0	double	%10.0g	%origin number of high-income housing		
oaantal_werk_~0	double	%10.0g	origin # of people working		
ohuish_ha0	double	%10.0g	origin house per ha		
oinw_ha0	double	%10.0g	origin people per ha		
op_m2_0	double	%10.0g	origin average price per m2		
ohouse_0	int	%10.0g	origin stiock of houses		
oscholen0	byte	%10.0g	origin # school		
oinwoners0	float	%9.0g	origin # of people		
o_0a190	int	%10.0g	origin 0-19 years old person		
o_20a640	int	%10.0g	origin 20-64 years old person		
o_65m0	int	%10.0g	origin 65+ years old person		
o_0a19per0	double	%10.0g	origin 0-19 years old % person		
