o_naam,d_naam,o_person_hec,o_poblacion,d_person_hec,d_poblacion,o_atrac,d_atrac,o_violencia,o_cimpropiedad,d_violencia,d_cimpropiedad,migra,oarea,o_tolerancia,darea,distance
Archipelbuurt,Arendsdorp,28.9,0,1478,38.3,14,5.42517,81.20862,4,142,22,18,456794.29,9,456508.23,1.8025568
Archipelbuurt,Burgen en Horsten,63.4,5,5607,38.3,3,55.62622,73.82207,40,302,22,1,456483.6,53,456508.23,1.8025568
Archipelbuurt,Componistenbuurt,121.4,0,1736,38.3,0,47.72196,131.299,8,53,22,2,453537.39,39,456508.23,1.8025568
Archipelbuurt,Duindorp,67.6,2,5662,38.3,3,46.05552,74.93383,29,120,22,1,456516.45,18,456508.23,1.8025568
Archipelbuurt,Kom Loosduinen,115.4,3,5286,38.3,0,216.3223,84.54276,29,223,22,0,452310.59,35,456508.23,1.8025568
Archipelbuurt,v Stolkpark/Schev Bosjes,6.5,2,701,38.3,0,3.58944,72.09832,6,97,22,0,457152.55,12,456508.23,1.8025568
Arendsdorp,Bezuidenhout-West,48.7,2,2620,13.2,0,33.46683,5.577805,120,767,4,2,455123.84,54,456794.29,1.7517589
Arendsdorp,De Velden,43.1,1,3105,13.2,0,5.315276,3.986457,14,32,4,0,453976.79,112,456794.29,1.7517589
Arendsdorp,Duindorp,67.6,2,5662,13.2,0,46.05552,3.542732,29,120,4,1,456516.45,18,456794.29,1.7517589
Arendsdorp,Laakkwartier-Oost,187.6,4,10223,13.2,1,153.5517,5.356454,94,526,4,1,452967.68,91,456794.29,1.7517589
Arendsdorp,Nieuw Waldeck,123.4,2,7503,13.2,1,24.78081,4.646401,35,202,4,0,452974.26,37,456794.29,1.7517589
Arendsdorp,Oostbroek-Noord,189,1,4253,13.2,0,368.3699,13.31457,67,383,4,0,453884.54,71,456794.29,1.7517589
Arendsdorp,Rond de Energiecentrale,97.2,2,4850,13.2,0,151.439,5.824575,58,381,4,0,454604.06,45,456794.29,1.7517589
Belgisch Park,Bezuidenhout-West,48.7,2,2620,37.9,0,33.46683,193.7078,120,767,69,6,455123.84,54,458771.21,1.8552631
Belgisch Park,Bosweide,21.5,0,1577,37.9,0,0,192.2023,4,30,69,1,451586.61,102,458771.21,1.8552631
Belgisch Park,De Uithof,6.7,0,895,37.9,0,10.74843,190.1453,10,122,69,0,450129.23,77,458771.21,1.8552631
Belgisch Park,Scheveningen Badplaats,101.8,1,5142,37.9,32,134.9139,193.5995,59,391,69,45,458491.39,15,458771.21,1.8552631
Bezuidenhout-Midden,Haagse Bos,3.6,1,422,28.5,0,0,119.7598,12,74,26,0,456196.18,49,455383.17,2.0567493
