obu_naam,dbu_naam,owk_name,year,ooffenders0,doffenders0,oX,oY,dX,dY,dbuurtnr,dgwbcode,Distance,migra0,pairid,iqd,Crim_o,Crim_d
Archipelbuurt,De Bras,Archipelbuurt,2008,56,69,80679.999,456508.23,86142.018,449864.37,115,5184215,8600.846,9,4896,0.5423057,187,41
Archipelbuurt,Houtwijk,Archipelbuurt,2006,60,242,80679.999,456508.23,76992.266,452335.92,86,5181786,5568.439,3,4867,0.5261629,244,368
Archipelbuurt,Landen,Archipelbuurt,2006,60,109,80679.999,456508.23,85024.412,456854.6,61,5182561,4358.199,4,4842,0.5990559,244,112
Archipelbuurt,Moerwijk-Zuid,Archipelbuurt,2007,53,158,80679.999,456508.23,80106.222,451423.04,39,5183639,5117.461,1,4824,0.737851,198,206
Archipelbuurt,Oud Scheveningen,Archipelbuurt,2008,56,55,80679.999,456508.23,78627.353,457923.01,1,5180701,2492.98,1,4789,0.4757003,187,115
Archipelbuurt,Westbroekpark,Archipelbuurt,2009,48,7,80679.999,456508.23,80090.5,457832.45,73,5180373,1449.511,2,4854,0.534788,235,61
Archipelbuurt,Zorgvliet,Archipelbuurt,2004,44,5,80679.999,456508.23,79544.752,456290.84,41,5181041,1155.874,2,4826,0.5426505,413,167
Arendsdorp,Burgen en Horsten,Benoordenhout,2003,4,67,81740.394,456794.29,84507.038,456483.6,69,5182569,2784.034,9,8042,0.5617828,146,342
Arendsdorp,De Bras,Benoordenhout,2007,6,56,81740.394,456794.29,86142.018,449864.37,115,5184215,8209.634,2,8088,0.5511216,48,48
Arendsdorp,Erasmus Veld,Benoordenhout,2008,7,30,81740.394,456794.29,79186.621,450542.77,101,5184001,6753.017,1,8074,0.5765415,60,63
Arendsdorp,v Hoytemastraat eo,Benoordenhout,2008,7,18,81740.394,456794.29,82189.176,456547.83,79,5180479,512.001,7,8052,0.5622977,60,58
Arendsdorp,v Stolkpark/Schev Bosjes,Benoordenhout,2006,6,8,81740.394,456794.29,79920.442,457152.55,5,5180605,1854.88,2,7985,0.552413,59,50
Belgisch Park,Bezuidenhout-Midden,Belgisch Park,2007,131,31,79980.953,458771.21,83018.757,455383.17,65,5182665,4550.497,3,7240,0.5454736,425,266
Belgisch Park,Kortenbos,Belgisch Park,2008,106,148,79980.953,458771.21,80655.598,454904.27,11,5182811,3925.344,10,7193,0.609002,385,451
Belgisch Park,Moerwijk-West,Belgisch Park,2005,107,204,79980.953,458771.21,79856.692,451847.38,37,5183637,6924.94,3,7216,0.6558626,411,333
Belgisch Park,Oostbroek-Noord,Belgisch Park,2005,107,127,79980.953,458771.21,79177.217,453884.54,31,5183131,4952.321,3,7210,0.6711727,411,258
Belgisch Park,Uilennest,Belgisch Park,2009,109,15,79980.953,458771.21,82832.896,456914.83,75,5180475,3402.899,5,7250,0.5525336,376,39
Belgisch Park,Waldeck-Noord,Belgisch Park,2005,107,24,79980.953,458771.21,75725.315,453119.56,94,5181894,7074.716,2,7269,0.4477925,411,80
Belgisch Park,Waldeck-Zuid,Belgisch Park,2005,107,32,79980.953,458771.21,75810.388,452667.99,6,5181806,7392.082,1,7188,0.487017,411,36
