Degree,Count(Nodes)
1,11
2,2
3,3
4,1
5,3
6,3
7,1
8,2
9,1
12,2
14,1
17,2
18,2
19,4
20,1
21,1
22,4
23,3
24,5
25,1
26,3
27,1
28,2
29,1
30,2
32,2
33,1
34,3
36,3
37,1
38,2
39,3
40,2
41,4
42,3
43,3
44,4
45,1
46,1
47,3
48,2
49,2
50,4
51,1
52,2
54,1
56,2
57,4
58,5
59,2
60,2
61,3
62,2
63,1
64,5
65,3
66,4
67,5
68,3
69,4
70,4
71,3
72,4
73,4
74,4
75,3
76,3
77,5
78,6
79,3
80,8
81,3
82,5
83,3
84,9
85,7
86,2
87,4
88,2
89,6
90,3
91,2
92,4
93,2
94,3
95,5
96,5
97,7
98,3
99,6
100,2
101,5
102,8
103,6
104,8
105,5
106,5
107,4
108,5
109,5
110,5
111,4
112,11
113,3
114,3
115,7
116,8
117,4
118,2
119,2
120,6
121,7
122,6
123,6
124,8
125,7
126,7
127,5
128,6
129,6
130,6
131,7
132,7
133,7
134,4
135,9
136,7
137,12
138,6
139,6
140,12
141,9
142,14
143,6
144,12
145,16
146,13
147,7
148,5
149,10
150,10
151,3
152,4
153,6
154,9
155,8
156,4
157,3
158,7
159,3
160,3
161,6
162,2
163,5
164,3
165,7
166,5
167,3
168,3
169,3
170,2
171,6
172,2
173,1
174,1
175,4
176,2
177,2
178,2
179,1
180,4
181,1
182,1
183,1
184,1
186,1
187,1
